"#","English","Myanmar","Source","In code?","Notes"
"116","Database save failed","Database သိမ်းရန် မအောင်မြင်ပါ","domTranslate","yes",""
"117","Date","ရက်စွဲ","domTranslate","yes",""
"118","Debts","ကြွေးများ","domTranslate","yes",""
"119","Defect Reason","ချွတ်ယွင်းရသည့် အကြောင်းရင်း","domTranslate","yes",""
"120","Defective Part","ချွတ်ယွင်းသော အပိုပစ္စည်း","domTranslate","yes",""
"121","Defective Part & Tier","ချွတ်ယွင်းသော အပိုပစ္စည်းနှင့် အဆင့်","domTranslate","yes",""
"122","Delete","ဖျက်မည်","domTranslate+i18n","yes","i18n key: delete"
"123","Delete Part","အပိုပစ္စည်း ဖျက်မည်","domTranslate","yes",""
"124","deleted successfully","အောင်မြင်စွာ ဖျက်ပြီး","domTranslate","yes",""
"125","Deposit Paid","စလံငွေ ပေးပြီး","i18n","yes","i18n key: deposit"
"126","Description","ဖော်ပြချက်","domTranslate","yes",""
"127","Details","အသေးစိတ်","domTranslate+i18n","yes","i18n key: details"
"128","Device","စက်ပစ္စည်း","i18n","yes","i18n key: device"
"129","Device & Serial/IMEI","စက်ပစ္စည်းနှင့် Serial/IMEI","domTranslate","yes",""
"130","Device Category","စက်ပစ္စည်း အမျိုးအစား","i18n","yes","i18n key: deviceCategory"
"131","Device List","စက်ပစ္စည်း စာရင်း","domTranslate","yes",""
"132","Device Model","စက်ပစ္စည်း မော်ဒယ်","domTranslate+i18n","yes","i18n key: deviceModel"
"133","Device Passcode","Device Passcode","domTranslate","yes",""
"134","Devices Management","စက်ပစ္စည်းများ စီမံခန့်ခွဲမှု","i18n","yes","i18n key: navDevices"
"135","Diagnostics","စစ်ဆေးချက်များ","domTranslate","yes",""
"136","digit(s)","လုံး","domTranslate","yes",""
"137","digits","လုံး","domTranslate","yes",""
"138","Discard","ပယ်ဖျက်မည်","domTranslate","yes",""
"139","Discount","လျှော့စျေး","domTranslate","yes",""
"140","Done","ပြီးပြီ","domTranslate","yes",""
"141","Download","ဒေါင်းလုဒ်","domTranslate","yes",""
"142","Drag and drop tickets between columns to update repair status.","အခြေအနေ ပြောင်းလဲရန် လက်မှတ်များကို ကော်လံများအကြား ဆွဲယူရွှေ့ပြောင်းပါ။","i18n","yes","i18n key: pipelineDragHelp"
"143","Drag cards between columns to update status","အခြေအနေ ပြောင်းရန် ကတ်များကို ကော်လံများကြား ဆွဲယူပါ","domTranslate","yes",""
"144","Due","ပေးရန်","domTranslate","yes",""
"145","Due Today","ယနေ့ သတ်မှတ်","domTranslate","yes",""
"146","Edit","ပြင်မည် ⚠CONFLICT(ပြင်ဆင်မည်)","domTranslate+i18n","yes","i18n key: edit"
"147","Edit Intake Ticket","လက်ခံလက်မှတ် ပြင်ဆင်ခြင်း","domTranslate","yes",""
"148","Edit Part","အပိုပစ္စည်း ပြင်မည်","domTranslate","yes",""
"149","Edit Service","ဝန်ဆောင်မှု ပြင်မည်","domTranslate","yes",""
"150","Editing Existing Ticket","ရှိပြီးသား လက်မှတ်ကို ပြင်ဆင်နေသည်","domTranslate","yes",""
"151","Email","အီးမေးလ်","domTranslate","yes",""
"152","Email Address","အီးမေးလ် လိပ်စာ","i18n","yes","i18n key: email"
"153","English","အင်္ဂလိပ်","domTranslate+i18n","yes","i18n key: english"
"154","Enter customer details, choose the device, add repairs, then complete the intake check.","ဝယ်ယူသူ အချက်အလက် ဖြည့်ပါ၊ စက်ပစ္စည်း ရွေးပါ၊ ပြုပြင်မှုများ ထည့်ပါ၊ ထို့နောက် လက်ခံစစ်ဆေးမှု ပြီးမြောက်ပါ။","domTranslate","yes",""
"155","Error","မှားယွင်းမှု","domTranslate","yes",""
"156","Estimate","ခန့်မှန်းချေ","domTranslate","yes",""
"157","Estimated Cost","ခန့်မှန်းကုန်ကျစရိတ်","i18n","yes","i18n key: estimatedCost"
"158","Existing Customer Profile Matched","ရှိပြီးသား ဝယ်ယူသူနှင့် ကိုက်ညီတွေ့ရှိ","domTranslate","yes",""
"159","Expand sidebar","Sidebar ချဲ့မည်","domTranslate","yes",""
"160","Expense","ကုန်ကျစရိတ်","domTranslate","yes",""
"161","Expenses","ကုန်ကျစရိတ်များ","domTranslate","yes",""
"162","Export","ထုတ်ယူမည်","domTranslate+i18n","yes","i18n key: export"
"163","Export Catalog to CSV","Catalog ကို CSV ထုတ်ယူမည်","domTranslate","yes",""
"164","Filter","စစ်ထုတ်မည် ⚠CONFLICT(စစ်ထုတ်ရန်)","domTranslate+i18n","yes","i18n key: filter"
"165","Filter by account type","အကောင့် အမျိုးအစားအလိုက် စစ်ထုတ်မည်","domTranslate","yes",""
"166","Filter by date","ရက်စွဲအလိုက် စစ်ထုတ်မည်","domTranslate","yes",""
"167","Filter inventory by category","အမျိုးအစားအလိုက် စစ်ထုတ်မည်","domTranslate","yes",""
"168","Filter inventory by quality tier","အရည်အသွေးအလိုက် စစ်ထုတ်မည်","domTranslate","yes",""
"169","Filter Part #, Category, SKU...","အပိုပစ္စည်း နံပါတ်၊ အမျိုးအစား၊ SKU ရှာဖွေပါ...","domTranslate","yes",""
"170","Filter Queue Below","အောက်တွင် စစ်ထုတ်မည်","domTranslate","yes",""
"171","Filter services...","ဝန်ဆောင်မှုများ စစ်ထုတ်ရန်...","domTranslate","yes",""
"172","Final Price","နောက်ဆုံးဈေး","domTranslate","yes",""
"173","Finance","ဘဏ္ဍာရေး","domTranslate","yes",""
"174","FINANCE","ဘဏ္ဍာရေး","i18n","yes","i18n key: navFinance"
"175","Finance 16% Margin","ဘဏ္ဍာရေး","domTranslate","yes",""
"176","Find My Status","Find My အခြေအနေ","domTranslate","yes",""
"177","Finished","ပြီးစီး","i18n","yes","i18n key: statusFinished"
"178","Flag RMA","RMA ပြန်အပ်လွှဲမည်","i18n","yes","i18n key: flagRma"
"179","Folder","ဖိုလ်ဒါ","domTranslate","yes",""
"180","Folder & Catalog Settings","ဖိုလ်ဒါနှင့် Catalog ဆက်တင်များ","domTranslate","yes",""
"181","Follow Up","ဆက်သွယ်စုံစမ်းမည်","domTranslate","yes",""
"182","Follow Ups","ဆက်သွယ်စုံစမ်းရေး","domTranslate","yes",""
"183","Follow-Up","ဆက်သွယ်စုံစမ်းမှု","domTranslate","yes",""
"184","General Settings","အထွေထွေ သတ်မှတ်ချက်များ","domTranslate","yes",""
"185","Generate Invoice","ပြေစာ ထုတ်မည်","domTranslate","yes",""
"186","Global search","ရှာဖွေမည်","domTranslate","yes",""
"187","Global search (⌘K)","ရှာဖွေမည် (⌘K)","domTranslate","yes",""
"188","Gross Profit","အကြမ်းအမြတ်","domTranslate","yes",""
"189","Gross Profit Margin","အကြမ်း အမြတ်နှုန်း","domTranslate","yes",""
"190","Hardware Analytics","စက်ပစ္စည်း စာရင်းအင်း","domTranslate","yes",""
"191","Hardware Analytics 7 Tickets","စက်ပစ္စည်း စာရင်းအင်း","domTranslate","yes",""
"192","Hide","ဝှက်မည်","domTranslate","yes",""
"193","IMEI Number (15 Digits)","IMEI နံပါတ် (၁၅ လုံး)","domTranslate","yes",""
"194","Import","ထည့်သွင်းမည်","i18n","yes","i18n key: import"
"195","In Progress","လုပ်ဆောင်ဆဲ","i18n","yes","i18n key: statusInProgress"
"196","In Stock","လက်ကျန် ⚠CONFLICT(စတော့ ရှိပမာဏ)","domTranslate+i18n","yes","i18n key: quantity"
"197","In-shop repairs","ဆိုင်တွင်း ပြုပြင်မှု","domTranslate","yes",""
"198","In-Shop Repairs","ဆိုင်တွင်း ပြုပြင်မှု","domTranslate","yes",""
"199","Income","ဝင်ငွေ","domTranslate","yes",""
"200","Info","အချက်အလက်","domTranslate","yes",""
"201","Intake Notes","လက်ခံမှတ်ချက်","domTranslate","yes",""
"202","Interactive chronological tracking of repair stages, timestamps, and technician notes.","ပြုပြင်မှု အဆင့်ဆင့်၊ အချိန်နှင့် နည်းပညာရှင် မှတ်စုများ၏ မှတ်တမ်းစာရင်း။","i18n","yes","i18n key: timelineDesc"
"203","Internet connection","အင်တာနက် ချိတ်ဆက်မှု","domTranslate","yes",""
"204","Internet connection required","အင်တာနက် ချိတ်ဆက်မှု လိုအပ်သည်","domTranslate","yes",""
"205","Inventory","ပစ္စည်းစာရင်း","domTranslate","yes",""
"206","INVENTORY","ပစ္စည်းစာရင်း","i18n","yes","i18n key: navInventory"
"207","Inventory 449 Low","ပစ္စည်းစာရင်း","domTranslate","yes",""
"208","Invoice","ပြေစာ","domTranslate","yes",""
"209","Invoice #","ဘေလ်အမှတ် #","i18n","yes","i18n key: posInvoiceNumber"
"210","Item","ပစ္စည်း","domTranslate","yes",""
"211","item(s)","ခု","domTranslate","yes",""
"212","items","ခု","domTranslate","yes",""
"213","Language","ဘာသာစကား","domTranslate+i18n","yes","i18n key: language"
"214","Last Contact","နောက်ဆုံး ဆက်သွယ်မှု","domTranslate","yes",""
"215","Last Month","ပြီးခဲ့သည့်လ","domTranslate","yes",""
"216","Last synced","နောက်ဆုံး ထပ်တူပြုခဲ့သည်","domTranslate","yes",""
"217","Last Updated","နောက်ဆုံးပြင်ဆင်သည့် ရက်စွဲ","i18n","yes","i18n key: updatedAt"
"218","Less","လျှော့","domTranslate","yes",""
"219","Live Database Status","Database အခြေအနေ","domTranslate","yes",""
"220","Live database unavailable","Database ချိတ်ဆက်၍မရပါ","domTranslate","yes",""
"221","Live Supabase data","Supabase data အွန်လိုင်း","domTranslate","yes",""
"222","Loading","လုပ်ဆောင်နေသည်","domTranslate","yes",""
"223","Loading…","လုပ်ဆောင်နေသည်…","domTranslate","yes",""
"224","Log Status Transition","အခြေအနေပြောင်းလဲမှု မှတ်တမ်းတင်မည်","i18n","yes","i18n key: logStatus"
"225","Logout","ထွက်မည်","domTranslate","yes",""
"226","Low","နည်း","domTranslate","yes",""
"227","Low Stock","လက်ကျန် နည်း","domTranslate","yes",""
"228","Low Stock Alerts","စတော့နည်းပါးမှု သတိပေးချက်","i18n","yes","i18n key: dashLowStockAlerts"
"229","MANAGEMENT","စီမံခန့်ခွဲမှု","i18n","yes","i18n key: navManagement"
"230","Margin","အမြတ်နှုန်း","domTranslate","yes",""
"231","Mark All N/A","အားလုံး N/A မှတ်မည်","domTranslate","yes",""
"232","Mark All Pass","အားလုံး Pass မှတ်မည်","domTranslate","yes",""
"233","Matrix","Matrix","domTranslate","yes",""
"234","Micro-Soldering Lab","မိုက်ခရို ဂဟေဆက်ဓာတ်ခွဲခန်း","i18n","yes","i18n key: navMicroSoldering"
"235","Model","မော်ဒယ်","domTranslate+i18n","yes","i18n key: model"
"236","Monthly Revenue","ဒီလ ဝင်ငွေ","i18n","yes","i18n key: dashRevenueThisMonth"
"237","More","နောက်ထပ်","domTranslate","yes",""
"238","My Jobs","ကျွန်ုပ်၏ လုပ်ငန်းများ","domTranslate","yes",""
"239","Myanmar (မြန်မာ)","မြန်မာ","i18n","yes","i18n key: burmese"
"240","Name","အမည်","domTranslate","yes",""
"241","Net Profit","အသားတင်အမြတ်","domTranslate","yes",""
"242","Net Profit Margin","အသားတင် အမြတ်နှုန်း","domTranslate","yes",""
"243","New","အသစ်","domTranslate","yes",""
"244","New Intake Ticket","လက်ခံလက်မှတ် အသစ်","domTranslate","yes",""
"245","New Intake Ticket Registration","ပြုပြင်ရေး လက်မှတ်အသစ် စာရင်းသွင်းခြင်း","domTranslate+i18n","yes","i18n key: navCreateTicket"
"246","New RMA","RMA အသစ်","domTranslate","yes",""
"247","New Ticket","လက်မှတ်အသစ်","i18n","yes","i18n key: newTicket"
"248","Next","ရှေ့သို့","domTranslate","yes",""
"249","Next Follow-Up","နောက်ထပ် ဆက်သွယ်မည့်ရက်","domTranslate","yes",""
"250","Next: choose a device model to unlock repairs","နောက်တစ်ဆင့်: ပြုပြင်မှုများ ရရှိရန် စက်ပစ္စည်း ရွေးပါ","domTranslate","yes",""
"251","Next: tap ""+ Add Repairs"" to build the estimate","နောက်တစ်ဆင့်: ခန့်မှန်းချေ တွက်ရန် ""+ Add Repairs"" နှိပ်ပါ","domTranslate","yes",""
"252","No","မဟုတ်ပါ","domTranslate","yes",""
"253","No inventory components found matching your filter","စစ်ထုတ်မှုနှင့် ကိုက်ညီသော ပစ္စည်း မတွေ့ပါ","domTranslate","yes",""
"254","No matches for","ကိုက်ညီမှုမရှိပါ —","domTranslate","yes",""
"255","No saved bins yet — type a new bin above.","Bin များ မသိမ်းရသေးပါ — အပေါ်တွင် Bin အသစ် ရိုက်ထည့်ပါ။","domTranslate","yes",""
"256","No saved inventory data yet","သိမ်းထားသော ပစ္စည်းစာရင်း မရှိသေးပါ","domTranslate","yes",""
"257","No tracking yet","ခြေရာခံ မရှိသေးပါ","domTranslate","yes",""
"258","None","မရှိ","domTranslate","yes",""
"259","Note","မှတ်ချက်","domTranslate","yes",""
"260","Notes","မှတ်ချက်များ","domTranslate","yes",""
"261","Off","ပိတ်","domTranslate","yes",""
"262","Offline","အော့ဖ်လိုင်း","domTranslate","yes",""
"263","OK","OK","domTranslate","yes",""
"264","ON","ဖွင့်","domTranslate","yes",""
"265","Online","အွန်လိုင်း","domTranslate","yes",""
"266","Open","ဖွင့်မည်","domTranslate","yes",""
"267","Open AI Assistant","AI အကူ ဖွင့်မည်","domTranslate","yes",""
"268","Open AI Diagnostic Assistant","AI စစ်ဆေးရေး အကူ ဖွင့်မည်","domTranslate","yes",""
"269","Open Interactive Pipeline","Interactive Pipeline ဖွင့်မည်","domTranslate","yes",""
"270","Out of Stock","ပြတ်လပ်","domTranslate","yes",""
"271","Outstanding","ကျန်ရှိငွေ","domTranslate","yes",""
"272","Outstanding Debts","ကျန်ရှိ ကြွေးများ","domTranslate","yes",""
"273","Overdue","နောက်ကျနေ","domTranslate","yes",""
"274","P&L Statement","အမြတ်/ဆုံးရှုံး စာရင်း","domTranslate","yes",""
"275","Paid","ပေးပြီး","domTranslate","yes",""
"276","Part","အပိုပစ္စည်း","domTranslate","yes",""
"277","Part #","အပိုပစ္စည်း နံပါတ်","domTranslate","yes",""
"278","Part Name","အပိုပစ္စည်း အမည်","domTranslate+i18n","yes","i18n key: partName"
"279","Part Name & SKU","အပိုပစ္စည်း အမည်နှင့် SKU","domTranslate","yes",""
"280","Parts","အပိုပစ္စည်းများ","domTranslate","yes",""
"281","Parts Inventory & Stock Matrix","အပိုပစ္စည်းနှင့် စတော့ Matrix ⚠CONFLICT(အပိုပစ္စည်းနှင့် စတော့စာရင်း Matrix)","domTranslate+i18n","yes","i18n key: navPartsMatrix"
"282","Password","စကားဝှက်","domTranslate","yes",""
"283","Pay Now","ယခု ပေးချေမည်","domTranslate","yes",""
"284","Payment Method","ငွေပေးချေမှု နည်းလမ်း","domTranslate","yes",""
"285","Payout","ပေးချေမှု","domTranslate","yes",""
"286","pending","စောင့်ဆိုင်း","domTranslate","yes",""
"287","Pending","စောင့်ဆိုင်း","i18n","yes","i18n key: statusPending"
"288","Pending Payment","ငွေပေးချေရန် စောင့်ဆိုင်း","domTranslate","yes",""
"289","Pending writes","စောင့်ဆိုင်းနေသော သိမ်းဆည်းမှုများ","domTranslate","yes",""
"290","Permissions","ခွင့်ပြုချက်များ","domTranslate","yes",""
"291","Phone","ဖုန်း","domTranslate","yes",""
"292","Phone Number","ဖုန်းနံပါတ်","domTranslate+i18n","yes","i18n key: phone"
"293","Phone Number *","ဖုန်းနံပါတ် *","domTranslate","yes",""
"294","Pipeline","လုပ်ငန်းစဉ် လိုင်း","i18n","yes","i18n key: navPipeline"
"295","POS & Invoicing Portal","အရောင်းနှင့် ဘေလ်ဖြတ်ပိုင်း ပေါ်တယ်","domTranslate+i18n","yes","i18n key: navPos"
"296","Previous Period","ယခင်ကာလ","domTranslate","yes",""
"297","Price","ဈေးနှုန်း","domTranslate","yes",""
"298","Price Catalog","ဈေးနှုန်း Catalog","domTranslate","yes",""
"299","Price List","ဈေးနှုန်းစာရင်း","domTranslate+i18n","yes","i18n key: navPriceList"
"300","Print","ပုံနှိပ်မည်","domTranslate","yes",""
"301","Print Invoice","ပြေစာ ပုံနှိပ်မည်","domTranslate","yes",""
"302","Print Tag","တံဆိပ်ရိုက်နှိပ်မည်","i18n","yes","i18n key: print"
"303","Priority","ဦးစားပေး","domTranslate","yes",""
"304","Process Payment","ငွေပေးချေမှု ပြုလုပ်မည်","i18n","yes","i18n key: posPay"
"305","Profit / Loss","အမြတ် / ဆုံးရှုံး","domTranslate","yes",""
"306","Profit / Unit","တစ်ခု အမြတ်","domTranslate","yes",""
"307","Profit Analysis","အမြတ် စစ်ဆေးမှု","domTranslate","yes",""
"308","Profit Margin","အမြတ်နှုန်း","domTranslate","yes",""
"309","QA & Warranty Inspection","စစ်ဆေးရေးနှင့် အာမခံ စစ်ဆေးမှု","domTranslate+i18n","yes","i18n key: navQa"
"310","QA Inspection","QA စစ်ဆေးမှု","domTranslate","yes",""
"311","Quality","အရည်အသွေး","domTranslate","yes",""
"312","Quality Tier","အရည်အသွေး အဆင့်","domTranslate","yes",""
"313","Quantity","အရေအတွက်","domTranslate","yes",""
"314","Quick Price Calculator","အမြန် ဈေးတွက်စက်","domTranslate","yes",""
"315","Realistic Color","အရောင်အစစ်","domTranslate","yes",""
